1	(0, 0)	(0, 18)	108335,391825,340367,286457,661741	340367,661741,286457,391825,108335	70	54
2	(0, 0)	(0, 18)	219130,365285,364695	364695,365285,219130	60	62
3	(0, 0)	(0, 18)	422465,379019,98888	422465,379019,98888	50	50
4	(0, 0)	(0, 18)	352109,397889,386850,380489,287261	287261,380489,352109,397889,386850	44	40
5	(0, 0)	(0, 18)	281610,342706,111873,198029,366109,287261,76283,254489,258540,286457	254489,342706,111873,287261,281610,198029,366109,76283,258540,286457	56	43
6	(0, 0)	(0, 18)	383599,381992,89769,284905	383599,381992,89769,284905	64	65
7	(0, 0)	(0, 18)	284251,780493,226774,140817,191515,327710	226774,140817,191515,327710,284251,780493	56	57
8	(0, 0)	(0, 18)	16643,123462,119063,128827,188598,323836,660999,661002	660999,661002,128827,16643,123462,119063,188598,323836	70	71
9	(0, 0)	(0, 18)	181202,328595,276157,296188,8140,208299	328595,181202,276157,296188,8140,208299	64	57
10	(0, 0)	(0, 18)	427230,372539,396879,391680,208660,105912,332555,227534,68048,188856,736830,736831,479020,103313,365797,97077,117900,384900,769581,1372184,226774	208660,427230,372539,396879,391680,188856,97077,117900,68048,736830,736831,479020,769581,1372184,226774,105912,332555,227534,103313,384900,365797	134	76
11	(0, 0)	(0, 18)	1117760,102601,222340,112167	112167,102601,222340,1117760	52	33
12	(0, 0)	(0, 18)	176484,245818,195946,272457,354111,103926,106685,260033,306104,397673,16643,193618,180958,226774,392017,154454,287261,111873,391857,393069,1400578	391857,287261,111873,354111,16643,245818,195946,226774,392017,154454,103926,106685,260033,193618,306104,397673,176484,272457,1400578,393069,180958	138	104
13	(0, 0)	(0, 18)	1145658,1590703,1588573,304902,616588,204756,354453,156523,129049,19494,72830,207762,17032	354453,204756,1145658,1590703,129049,19494,616588,72830,207762,304902,156523,17032,1588573	84	48
14	(0, 0)	(0, 18)	208299,147629,311368,48409,255229,396806,104076,286438	311368,255229,396806,104076,286438,208299,147629,48409	64	53
15	(0, 0)	(0, 18)	356984,376926,360031	356984,376926,360031	24	26
16	(0, 0)	(0, 18)	1651829,2253198,1622191,1621045,1621158,1622196,1622195,1622191,1945580,1628756,1629090,2625541,2625537,1623864,1622038,1621964,1624694,1626710,1626709,1626718	1651829,2253198,1622191,1621045,1621158,1622196,1622195,1945580,1628756,1629090,2625541,2625537,1623864,1622038,1621964,1624694,1626710,1626709,1626718	28	46
17	(0, 0)	(0, 18)	762640,1138,1329222,298112,8659	1138,762640,298112,8659,1329222	76	54
18	(0, 0)	(0, 18)	379184,392028,391231,373389	391231,373389,392028,379184	58	41
19	(0, 0)	(0, 18)	848856,393114,397759,135359	848856,393114,397759,135359	36	37
20	(0, 0)	(0, 18)	397023,396275,2176822,277444	277444,2176822,397023,396275	40	33
21	(0, 0)	(0, 18)	1365,915008,395667,2353999,2355128,2353376,2332456,2363688,2350751,408600,38512,657803,920290,1072892,398496,399274,1324430	1072892,408600,2353999,2355128,2353376,2332456,2363688,2350751,920290,398496,399274,915008,395667,1324430,1365,657803,38512	140	82
22	(0, 0)	(0, 18)	1605984,1101321,195946,1101337,1101327,383599,381992,89769,219130	1101337,1605984,195946,1101327,383599,381992,1101321,89769,219130	102	82
23	(0, 0)	(0, 18)	71795,364846,100792,289088,2625629,204257,194170	364846,204257,71795,194170,100792,2625629,289088	94	72
24	(0, 0)	(0, 18)	371198,30668,322367,272175,1190989,391857,393069	391857,393069,371198,1190989,322367,272175,30668	96	72
25	(0, 0)	(0, 18)	334956,1114834,91849	334956,1114834,91849	32	34
26	(0, 0)	(0, 18)	383599,381992,258569,324086,1456044	324086,383599,381992,258569,1456044	64	56
27	(0, 0)	(0, 18)	405691,391079,380057,179949,1044876	391079,380057,179949,1044876,405691	64	48
28	(0, 0)	(0, 18)	948360,360062,42416,324086	324086,360062,42416,948360	52	35
29	(0, 0)	(0, 18)	1720533,272258,239436,230004,219130,1400574	272258,239436,230004,1720533,1400574,219130	80	91
30	(0, 0)	(0, 18)	308245,137041,341789,316459	308245,137041,341789,316459	32	35
31	(0, 0)	(0, 18)	145613,363243,365167,387191,1192416,1321,1101319	387191,1101319,1192416,1321,145613,365167,363243	88	76
32	(0, 0)	(0, 18)	1147851,61210,231434,76182,388082,388746,361415,379553,357344,396342,89769,391835,359287,160922,392028,108775,274852,286783	359287,160922,231434,274852,286783,379553,357344,108775,392028,61210,388082,388746,361415,76182,89769,391835,1147851,396342	130	97
33	(0, 0)	(0, 18)	106685,260033,103926,205427	205427,106685,260033,103926	40	39
34	(0, 0)	(0, 18)	257415,111873,287467,1101838,287261,1689273,398302	111873,287261,1689273,287467,257415,398302,1101838	82	52
35	(0, 0)	(0, 18)	148548,143230,398335,398325,36346,230013	398335,148548,143230,398325,36346,230013	32	29
36	(0, 0)	(0, 18)	365028,387238,366339,223681	223681,365028,387238,366339	36	41
37	(0, 0)	(0, 18)	81941,227150,287164,89769	227150,287164,81941,89769	52	41
38	(0, 0)	(0, 18)	31378,108335,5697,2489041	31378,5697,108335,2489041	44	43
39	(0, 0)	(0, 18)	392017,391888,378837,1333672,1164788,276338,185422	392017,391888,378837,1333672,185422,1164788,276338	52	48
40	(0, 0)	(0, 18)	204257,193832,60315,679025	204257,60315,193832,679025	52	49
41	(0, 0)	(0, 18)	335765,30440,230546,41100	230546,335765,30440,41100	40	41
42	(0, 0)	(0, 18)	360218,137790,24294,131627,145989,251547,244708	137790,24294,131627,360218,145989,251547,244708	60	44
43	(0, 0)	(0, 18)	5735,350562,180023,32895,22234,321099,111873,499508,1101259,392000	1101259,5735,180023,32895,111873,350562,22234,321099,499508,392000	52	41
44	(0, 0)	(0, 18)	207762,392705,46071,324086,475132,475125	324086,475132,207762,392705,46071,475125	48	35
45	(0, 0)	(0, 18)	307102,1101337,387191,2150316,2620913,2620902,1102073	387191,1101337,307102,2150316,2620913,2620902,1102073	50	44
46	(0, 0)	(0, 18)	1192448,184241,226774,185422,950952,193832	184241,226774,185422,193832,1192448,950952	56	55
